Datetime,Tweet Id,Text,Username
2022-03-30 12:50:04+00:00,1.51E+18,The MSME Sector is crucial for India’s economic progress. Our Government is taking many steps to add new energy into the sector and support local enterprise. Today’s Cabinet decision is a step in this direction. https://t.co/bKRPlqqzA2,narendramodi
2022-03-30 06:37:12+00:00,1.51E+18,Was happy to participate in the 5th BIMSTEC Summit hosted by Sri Lanka. We took several important decisions to further the BIMSTEC cooperation agenda. I commend the able leadership of @PresRajapaksa and extend my best wishes to the incoming chair @prayutofficial.,narendramodi
2022-03-30 04:40:11+00:00,1.51E+18,Speaking at the BIMSTEC Summit. https://t.co/6ffhno70HR,narendramodi
2022-03-30 03:06:59+00:00,1.51E+18,Congratulations to the entire @KonkanRailway Team for the remarkable success of ‘Mission 100% Electrification’ and setting new benchmarks of sustainable development. https://t.co/NB0DAZIVNz,narendramodi
2022-03-30 03:04:24+00:00,1.51E+18,"The enthusiasm towards this year’s Pariksha Pe Charcha has been phenomenal. Lakhs of people have shared their valuable insights and experiences. I thank all those students, parents and teachers who have contributed.

Looking forward to the programme on 1st April. https://t.co/nvXedTvh9F",narendramodi
2022-03-30 03:03:24+00:00,1.51E+18,Remembering the courageous Shyamji Krishna Varma on his Punya Tithi. Every Indian is proud of his monumental contribution to our freedom struggle. To be able to bring back his ashes from Geneva in 2003 will remain among the most special moments of my life. https://t.co/RzBr41aIa1,narendramodi
2022-03-30 03:00:25+00:00,1.51E+18,"Best wishes of Rajasthan Day to all the residents of Rajasthan, the historical land of bravery, self-respect and sacrifice. The state should move forward on the path of progress, this is the wish.",narendramodi
2022-03-29 15:38:23+00:00,1.51E+18,Delighted to address Matua Dharma Maha Mela 2022 on the Jayanti of Sri Sri Harichand Thakur Ji. https://t.co/UrxHjlMh8L,narendramodi
2022-03-29 10:37:35+00:00,1.51E+18,"This is my request to all State Governments, Local Bodies and Panchayats… https://t.co/lNGulhnxZ4",narendramodi
2022-03-29 10:37:14+00:00,1.51E+18,"For a long time the rural economy was seen as confined to agriculture only, but we are continuously expanding the role of villages. https://t.co/HYeJxdnQxe",narendramodi
2022-03-29 10:37:00+00:00,1.51E+18,"Why some people are not happy with the scheme of free ration for the poor, today I want to tell the reason for this to the country… https://t.co/k0pnL2ElmN",narendramodi
2022-03-29 10:36:47+00:00,1.51E+18,We have taken full care that the houses provided to the poor should also meet the rest of their life needs. https://t.co/pwJZ5frVIz,narendramodi
2022-03-29 10:36:31+00:00,1.51E+18,I heartily congratulate the people of Madhya Pradesh who got 1.25 lakh new houses under Pradhan Mantri Awas Yojana-Gramin. This is not just a figure but… https://t.co/m0GP6N6kwC,narendramodi
2022-03-29 07:09:43+00:00,1.51E+18,PM Awas Yojana is positively impacting many lives. Interacting with the beneficiaries in Madhya Pradesh. https://t.co/E1nTWbidjE,narendramodi
2022-03-28 16:24:44+00:00,1.51E+18,Glimpses from today’s ceremony in which Padma Awards were conferred on distinguished people from different walks of life. https://t.co/eEdUHLtbHE,narendramodi
2022-03-28 14:22:34+00:00,1.51E+18,"Visiting Orakandi Thakurbari in March 2021 is a special moment in Bangladesh. I shared my speech on that occasion here.

https://t.co/XpZL6wzWyl",narendramodi
2022-03-28 14:17:42+00:00,1.51E+18,I had the good fortune to go to Thakurnagar in February 2019. This tour I will never forget. It is very important for me to get the blessings of Barma Veenapani Thakur. https://t.co/qSkFwcpiWS,narendramodi
2022-03-28 14:16:01+00:00,1.51E+18,"I feel blessed to have the opportunity to address the Matua Dharma Mahamela tomorrow 29th March at 4-30 pm. The great Sri Sri Harichand Thakurji dedicated his life to social justice and public welfare. We will also celebrate his birthday.

https://t.co/1DJaRpqdUB",narendramodi
2022-03-28 13:12:36+00:00,1.51E+18,It was special to be at the Orakandi Thakurbari in Bangladesh in March 2021. Here is my speech during that programme. https://t.co/XpZL6wiTwl,narendramodi
2022-03-28 13:10:38+00:00,1.51E+18,"In February 2019, I had the opportunity to visit Thakurnagar. This is a visit that I will never forget. It was very special to get the blessings of Boro Ma Binapani Thakur. https://t.co/dUdBjIRkdv",narendramodi
2022-03-28 13:07:26+00:00,1.51E+18,"I am honoured to be addressing the Matua Dharma Maha Mela 2022 at 4:30 PM tomorrow, 29th March. We shall also mark the Jayanti of the great Sri Sri Harichand Thakur Ji, who devoted his entire life for social justice and public welfare. https://t.co/1DJaRpqLK9",narendramodi
2022-03-28 13:05:15+00:00,1.51E+18,"A new dawn is about to come in the lives of my rural brothers and sisters of Madhya Pradesh. Under Pradhan Mantri Awas Yojana-Gramin, there will be 'Griha Pravesam' for about 5.21 lakh families tomorrow. I will get an opportunity to attend it through video conferencing at 12.30 pm.

https://t.co/UgjPFaJBW9",narendramodi
2022-03-28 07:00:20+00:00,1.51E+18,Congratulations to @DrPramodPSawant Ji and all others who took oath in Goa today. I am confident this entire team will deliver good governance to the people of Goa and build on the pro-people work done in the last decade. https://t.co/s5zMyjPyVt,narendramodi
2022-03-27 15:25:39+00:00,1.51E+18,"Come, let’s celebrate the festival of examinations. Let’s talk stress free examinations. 

See you on 1st April at Pariksha Pe Charcha. https://t.co/9UDaEhA3we",narendramodi
